DEBUT_RANK,SPOTIFY_POPULARITY,HAS_PLAYLIST,GENRE_Hip-Hop/Rap,GENRE_Country,LOUDNESS,DURATION,HIT
91,33,0,False,False,-10.933,142026.0,1
88,3,0,False,False,-12.64,239666.0,0
85,55,0,False,False,-5.79,264253.0,0
90,42,0,False,False,-8.21,215093.0,0
100,56,0,False,False,-5.154,301933.0,0
85,27,0,False,False,-8.881,180773.0,0
94,12,0,False,False,-10.352,150240.0,0
76,7,0,False,False,-11.038,174614.0,0
98,42,0,False,False,-8.21,215093.0,0
85,24,0,False,False,-10.122,334340.125,0
87,7,0,False,False,-9.942,171693.0,0
75,58,0,True,False,-5.38,226790.0,0
84,60,0,False,False,-10.735,210533.0,0
84,13,0,False,False,-6.535,157266.0,0
65,42,0,False,False,-8.21,215093.0,0
98,41,0,False,False,-8.97,139560.0,0
11,53,0,False,False,-4.978,205013.0,0
32,44,0,False,False,-4.62,168053.0,1
83,40,0,False,False,-13.148,173960.0,0
90,42,0,False,False,-8.21,215093.0,0
81,42,0,False,False,-8.21,215093.0,0
81,35,0,False,False,-7.64,248000.0,0
90,42,0,False,False,-8.21,215093.0,0
84,12,0,False,False,-10.183,168066.0,0
94,10,0,False,False,-8.937,334340.125,0
95,8,0,False,False,-10.575,143560.0,0
94,14,0,False,False,-13.234,152760.0,0
85,42,0,False,False,-8.21,215093.0,0
89,34,0,False,False,-7.312,133813.0,0
98,66,0,False,True,-5.603,301986.0,0
73,35,0,False,False,-15.3,125400.0,1
91,1,0,False,True,-7.732,126106.0,0
83,3,0,False,False,-16.501875,145965.0,0
100,5,0,False,False,-13.843,163733.0,0
75,26,0,False,True,-3.798,188640.0,0
95,35,0,False,False,-8.115,188306.0,0
88,25,0,False,False,-10.39,219533.0,0
82,27,0,False,False,-8.752,283000.0,0
50,64,0,False,False,-5.972,211506.0,0
83,42,0,False,False,-8.21,215093.0,0
91,60,0,False,False,-3.527,169026.0,0
86,12,0,False,False,-10.663,252666.0,0
82,35,0,False,False,-8.661,194733.0,0
93,42,0,False,False,-8.21,215093.0,0
100,54,0,False,True,-8.484,172226.0,0
68,38,0,False,False,-14.837,207013.0,1
90,56,0,False,True,-4.446,219546.0,0
60,42,0,False,False,-8.21,215093.0,1
77,59,0,False,False,-5.05,240906.0,0
89,39,0,False,True,-8.032,256026.0,0
100,42,0,False,False,-8.21,215093.0,0
84,62,1,False,False,-13.409,213373.0,0
